competitie_naam,seizoen,genre,poule_naam,divisie,datum,tijd,sporthal,plaats_sporthal,thuisteam,thuisclub,plaats_thuisclub,uitteam,uitclub,plaats_uitclub,scheids1_hashed,scheids2_hashed,thuisscore,uitscore
Dames Competitie,2019,competitie,Eredivisie,1,2019-11-16,12:15:00,Nieuw Welgelegen Topsporthal - 3e verdieping,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,Sonics,Sonics,Amersfoort,2f94911872153729c2d60dab06d98ae3,77e0cbd49bea59238990879a0541df8f,9,1
Dames Competitie,2019,competitie,Eredivisie,1,2019-11-30,18:00:00,Nieuw Welgelegen Topsporthal - 3e verdieping,Utrecht,HSK Agents,HSK Floorball,Den Haag,Sonics,Sonics,Amersfoort,e590e1c4e2fc42cd0ea165f71a94e07e,03b437bf861cd50b6be9baaffa85f0c8,4,6
Dames Competitie,2019,competitie,Eredivisie,1,2020-01-18,10:00:00,Lewenborg,Groningen,Sonics,Sonics,Amersfoort,Groningen Messed Up,UFC Groningen,Groningen,6899c684b6bde42985cc37691a1ec4c4,f168b49418df8cdc224f3921a00f886d,11,10
Dames Competitie,2019,competitie,Eredivisie,1,2020-01-25,10:30:00,Nieuw Welgelegen Multifunctionele - Beneden,Utrecht,Sonics,Sonics,Amersfoort,UFC Utrecht 2,UFC Utrecht,Utrecht,5e2176b3aa970e3a944ac7f7cf7f5178,ded2bc207f4198fb7efb81d35bddab29,11,3
Dames Competitie,2019,competitie,Eredivisie,1,2020-02-08,10:30:00,Nieuw Welgelegen Topsporthal - 3e verdieping,Utrecht,Sonics,Sonics,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,60c49a5abca56ce4e305f56b35efefe2,5e2176b3aa970e3a944ac7f7cf7f5178,6,4
Dames Competitie,2019,competitie,Eredivisie,1,2020-03-07,10:30:00,Triangel,Lent (Nijmegen),Hot Flames 1,Floorball Flames Nijmegen,Nijmegen,Sonics,Sonics,Amersfoort,2e7e95078b58f771296abee439dca4cf,be17171577738e0dfb43c18143024f42,8,6
Dames Floorball competitie,2009,competitie,Voorronde 1e divisie,1,2009-09-26,10:45:00,Amersfoort - Schuilenburghal,Amersfoort,UA Sonics,Sonics,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,7375e9769477ca69d4b3aa06bbdca2ee,e7323ae630ac7677d6bc7c5edbfe6040,5,1
Dames Floorball competitie,2009,competitie,Voorronde 1e divisie,1,2009-10-03,16:00:00,Sportcentrum Universiteit Twente,Enschede,UA Sonics,Sonics,Amersfoort,Hot Shots 1,SUFV Hot Shots Nijmegen,Nijmegen,07c4d10eb37fb69772a0970c8b0a705a,5d30a3eca945d8eb914813f87b2a9689,2,2
Dames Floorball competitie,2009,competitie,Voorronde 1e divisie,1,2009-10-10,16:30:00,Leidschendam - De Fluit,Leidschendam,UA Sonics,Sonics,Amersfoort,HDM,HSK Floorball,Den Haag,4f6edfb342442620537e71d8fd480bf2,dfb17181f351b0c253ec2dbbd1d26476,2,0
Dames Floorball competitie,2009,competitie,Voorronde 1e divisie,1,2009-10-31,10:45:00,Amersfoort - Schuilenburghal,Amersfoort,UA Sonics,Sonics,Amersfoort,Quick Feet,Quick Feet,Groningen,923255d8be96824ac3d1c4efe3dafeef,041623a4c1f3b09fbc8337c64d982faf,6,1
